city,latitude,longitude
Acres Home,29.870719,-95.436543
Addicks,29.8132687,-95.6454759
Afton Oaks,29.7368538,-95.4532482
Alief,29.6827204,-95.593239
Astrodome Area,29.6852077,-95.4032257
Braeburn,29.6768908,-95.5283682
Braeswood,29.6896577,-95.4400613
Brays Oaks ,29.6557112,-95.5280193
Briar Forest,29.747835,-95.5872933
Carverdale,29.8587078,-95.545162
Central Northwest ,29.8327499,-95.4448031
Central Southwest,29.6282415,-95.4307937
Clear Lake,29.585736,-95.1327829
Clinton Park,29.740506,-95.2574352
Denver Harbor,29.7743832,-95.3011399
Downtown,29.7559698,-95.3573194
East Houston,29.8296699,-95.2699349
East Little York,29.8714094,-95.3005979
Edgebrook,29.6453933,-95.2265511
El Dorado,29.8051519,-95.24051
Eldridge,29.7324375,-95.6480151
Fairbanks ,29.8527259,-95.5243864
Fondren Gardens,29.6263258,-95.5012732
Fort Bend,29.5692614,-95.8142885
Fourth Ward,29.7579028,-95.3808683
Golfcrest,29.6851528,-95.2963115
Greater Eastwood,29.7357018,-95.3339582
Greater Fifth Ward,29.7761332,-95.32645
Greater Greenspoint,29.9406789,-95.4139056
Greater Heights,29.7962142,-95.399105
Greater Hobby Area,29.6254107,-95.2854369
Greater Inwood,29.8657387,-95.4804344
Greater OST,29.6911506,-95.3528565
Greater Third Ward,29.7278316,-95.3499071
Greater Uptown,29.7462508,-95.4617071
Greenway,29.7326743,-95.4332335
Gulfgate Riverview,29.708621,-95.3167989
Gulfton,29.7164567,-95.4805999
Harrisburg,29.7185281,-95.2601563
Hidden Valley,29.8896157,-95.4181974
Hunterwood,29.8165393,-95.2136187
IAH Airport,29.9902199,-95.3367827
Independence Heights,29.8284167,-95.3977159
Jensen,29.8481524,-95.3429072
Kashmere Gardens,29.8003861,-95.3169786
Kingwood,30.0500255,-95.1844774
Lake Houston,29.9723669,-95.1379946
Langwood,29.8259722,-95.4936915
Lawndale,29.7247703,-95.3112419
Lazybrook,29.8016005,-95.438085
MacGregor,29.7102924,-95.3563212
Magnolia Park,29.7371714,-95.2924745
Meadowbrook,29.6874666,-95.2461412
Medical Center,29.7066013,-95.399047
Memorial,29.7725574,-95.575926
Meyerland,29.686582,-95.4647224
Mid-West ,29.7374609,-95.5142195
Midtown,29.740795,-95.3756344
Minnetex,29.6256264,-95.3239403
Museum Park,29.725934,-95.3831509
Neartown,29.742668,-95.3991888
Northshore,29.7758059,-95.2182628
Northside,29.8411303,-95.410934
Northside Village,29.8033011,-95.3610391
Park Place,29.6950953,-95.2646733
Pecan Park,29.7064733,-95.286076
Pleasantville Area,29.7708418,-95.2729257
Second Ward,29.7510926,-95.3240014
Settegast,29.8153931,-95.2809456
Sharpstown,29.7051747,-95.5212898
South Acres,29.6276396,-95.3556233
South Belt,29.6015354,-95.2160675
South Main,29.6725728,-95.4201377
South Park,29.6663268,-95.3372099
Spring Branch Central,29.8110812,-95.5095815
Spring Branch East,29.7908472,-95.5446297
Spring Branch North,29.8227034,-95.5452559
Spring Branch West,29.7908472,-95.5446297
Sunnyside,29.6641199,-95.3679941
Trinity,29.8313761,-95.3020313
University Place,29.718548,-95.4089487
Washington Avenue Coalition,29.7770697,-95.4354935
Westbranch,29.8382464,-95.5520192
Westbury,29.6536089,-95.4804133
Westchase,29.7277555,-95.5716617
Westwood,29.6753259,-95.5502207
Willow Meadows,29.6733001,-95.4398826
Willowbrook,29.9558598,-95.5459787
